name,rating,relevance_score,source_language,review,sentiment_score,sentiment,sentiment_score_mbert,sentiment_mbert
adam w,1,0.0,en,bad company ever arrive Buenos Aires  airport connection flight receive email flyblondi 4 hour flight airport flight go leave change … new airport 1 hour away time 1 a.m. idea joke email real speak staff 20 year old idea email say give we second work 5 minute late say yes need travel airport think still long time wait would get coffee travelling new airport whilst drink coffee 1hour receive first email receive another email say '' sorry please ignore first email '' confuse staff idea go anyway … come check bag go check area 100 's person fly flyblondi sleeping floor shouting staff long story short 200 customer 4 flight cancel 2 day flight time always 1 a.m. flight delay 6 hour one tell we reason may leave say company 's staff provide service young control customer service disgusting would strongly advise everyone ever use company,-0.7906,Negative,-1.0,Negative
adrian,1,0.0,en,fly flybondi do not flight get delay three time morning afternoon evening uncertainty cancellation decide book another last minute flight Buenos Aires information point nobody reach online phone although price look cheap do not fly airline please book another one certainty get flight,-0.0772,Negative,-1.0,Negative
adrian de ferrariis,1,0.0029087242335511,es,truth go get ticket for … truth go get ticket holy week read everything lousy think well go another company voila cheap expensive,0.296,Positive,-1.0,Negative
adrian franco,1,0.2312920553045434,es,tell we wait 20 minute since arrive early say aside wait next guy tell we left person tell we go back,0.0,Neutral,-1.0,Negative
adrian g isman,1,0.000969574744517,es,first flight aep juj modify … first flight aep juj modify eze 1 day cancel flight reprogram call number lucky manage talk nobody attend 15 minute conclusion busy another passage airline pay fortuneby se 1 day flight reserve extras pay checkpy give zone 1 make plane last luckily find space suitcase attention shower antonela crespo bad suspend due bad treatment passenger arrive late eze instead aep fly freedom fly bad treatment passenger,-0.6124,Negative,-1.0,Negative
adriana,1,0.0,es,disastrous charge even breathe start good thing highlight flight schedule since travel emergency low cost absolutely nothing pay eye face ticket charge seat suitcase cabin backpack wallet charge pass 300g already pay previously thus realize almost buy international passage attention mendoza shit treat favor travel free plane leave much desire definitely recommend extra datum everywhere mendoza tell travel 6 bottle wine two inside backpack wallet 5 kg pass continue charge,0.8641,Positive,-1.0,Negative
adriana centeno,5,0.0468886346448447,es,beautiful flight cordoba first back without inconvenience time staff excellent warm respectful always attentive case need something choose thanks flybondi freedom fly,0.967,Positive,1.0,Positive
adriana r,1,0.0,es,warning avoid means seduce flybondi warning argentine company scam buy flight rosario salta flight force majeure pretend section bs salta pay return money invest generate vaucher rate operating money passage buy good faith armed orchestrate scam person make claim allude condition figure small print,-0.8591,Negative,-1.0,Negative
adrián g,1,0.0,es,unpresentable flight march 6 bs bariloche 5 friend first delay he change we airport send we ezeiza finally delay we 2 time return much book one night accommodation cdo embark return learn small suitcraft include round trip pay 2500 discuss 2 useless solve anything climb plane learn wethe seat change without even warning we travel separately time apologize 2 unpresentable put face think name month,-0.0936,Negative,-1.0,Negative
agostina l,4,0.0,es,surprise good faith flybondí lote passage company price issue holiday airline fall 15 000 first leg flight come 2 hour late change make anticipate complicate least instead leave 7 p.m. leave 9 return flight come outeven 10 minute schedule arrive perfectly schedule complaint considerable rate difference case would buy flybondi passage,0.9022,Positive,-1.0,Negative
agostina n,1,0.0,es,could put zero would since possible put one plane old seat wear level foam rubber seat coating see also rank glue treatment staff airport also leave much desire throw chair head one hand recommend travel airline,0.802,Positive,-1.0,Negative
agus c,1,0.0,es,bad airline without doubt plan flight 12 20 psar Christmas family cancel two hour flight already x year hle airport change flight 24 12 7 00 p spend Christmas airplane passenger insolito take care offer alternative option want bring consequence persola 4 day late party pathetic call claim never respond buy another passage another airline time much expensive also remove grandmother aunt also change schedule nothing another experience potato take Jujuy change salta travel night one procinciana another lose car hotel nobody take,-0.5559,Negative,-1.0,Negative
agus gutierrez,5,0.0127014291531734,es,madryn flight Buenos Aires  efficient would good schedule travel,0.6908,Positive,0.5,Positive
agus o,1,0.0,es,buy flybondi good day go accurate buy flybondi cancel flight 3 time delay flight 2 hour online able solve connection flight lose guess one take thank frequent traveler undoubtedly airline would choose flasha cheap touch put cancel flight airport change schedule change,-0.2023,Negative,-1.0,Negative
agus p,1,0.0,es,think travel partner well although change flight 5 time travel strand neuquén come 03 present work call take long time attend go around give we reimbursement truth holiday ruin we try find another flight Buenos Aires expensive recommend pay little airline flyblondi regret,0.2177,Positive,-1.0,Negative
agustin gollan,1,0.0,es,bad low cost fly recommend bad experience reprogramm flight 5 opportunity hour fly change schedule destiny ezeiza disrespect consumer long flight low cost,-0.8271,Negative,-1.0,Negative
agustin navarro,1,0.0038782989780682,es,put star get zero website always give error add luggage try several different device always say service available reception end charge extra price luggage error page seem echo purpose already 3 flight make take careful let cheer,-0.128,Negative,-1.0,Negative
agustina,2,0.0019391494890341,es,buy flybondi arrive exact date destination already several time turn flybondi flight inconvenience recent cancellation 5 minute flight embarking send we house piece paper take care reprogramming load load would recommend flybondi get destination specific time day trust,0.7579,Positive,-1.0,Negative
agustina c,4,0.0,es,experience good travel day ago airline Buenos Aires mendoza round trip read negative opinion afraid flight cancel truth experience good day buying ticket change schedule delay two hour anticipation 1 month doubt verify schedule time case change never change flight come suuuper punctual attend well airport would definitely travel flybondi doubt would hire anything day case modify flight rest everything ok much economical,0.3612,Positive,-1.0,Negative
agustina f,1,0.0,en,terrible airline horrible experience life flight delay 8 hour customer service keep lie we tell we every hour climate situation therefore flight delay true airline departure airport time note airport jorge newbery el Palomar instead least let we go home schedule flight keep we airport room food water hour never book airline,-0.8126,Negative,-1.0,Negative
agustina goriz,1,0.0019391494890341,es,writing mendoza airport since reprogramm flight come lose day thanks reprogram we return 2 ezeiza aeroparque take we bus aeroparque lose another hour arrive myhouse 5 everything work next day fall everyone,-0.3612,Negative,-1.0,Negative
agustinla,4,0.0,es,good without robbery rate good service round trip useless cost 2 5 h trip also landing san Aablo storm 5 February 2020 magnificent go ahead,0.7845,Positive,0.5,Positive
ailen f,2,0.0,es,travel flybondi risk lose flight due company negligence take disastrous experience travel flybondi take ticket 2 month advance flight schedule 17 10h always ask 3 hour leave house 11 a.m. live away airport week flight get see datum flight change without let know day 11 a.m. difficult go 5 30 get airport communicate company use reason attend talk reprogramm afternoon day flight realize give separate seat anywhere plane anyway disaster give face face check lose flight also money ticket since company take care mistake mind leave thepeople,-0.9485,Negative,-1.0,Negative
ailen p,1,0.0,es,cancel flight respond money return cancel flight july 22 córdoba Buenos Aires journey 3 seem respect offer change day follow return request return total reservation 4 passenger website give claim number receive email answer mean hopefully person get passage read amount claim reason take cheap end expensive money time bad moment generate,-0.1027,Negative,-1.0,Negative
ailen ritterbusch,1,0.0044600438247784,es,really disgust company leave strand cancel flight give solution relariously favor come back preferable pay little another airline go sure nothing bad go psar,0.2717,Positive,-1.0,Negative
ailin olivieri,1,0.0038782989780682,es,shame care call pay extra luggage page work make pay twice airport tell problem mine already try 2 different browser 3 different card 3 different mail nothing fourth need extra luggage fly company,-0.5267,Negative,-1.0,Negative
aillennicole,1,0.0,es,lot delay airline ask extreme user punctuality procedure airline always present delay flight,-0.5574,Negative,-1.0,Negative
ailu d,1,0.0,es,flybondi never first time buy flight flybondi lousy attention arrive 10 30 check tell we close flight leave 11 50 one attend we fodder attention public call reprogram want charge we double value date week sometimes well spend little reliable airline opinion never buy flybondi,0.0258,Neutral,-1.0,Negative
ailén marino,2,0.0426612887587504,es,bad experience change schedule date flight lose passage transfer airport city hotel reserve move spend return Sunday 4 p.m. Monday work 10 50 morning take week able contact someone solve situation attend well phone recommend see flight impact great,0.5106,Positive,-1.0,Negative
alan piñon,1,0.0,es,bad airline world buy please read opinion risk buy bad airline first want mention issue opinion base f05100 flight fly July 15 2019 Buenos Aires airport el Palomar epa Iguazu cataract international airport horrible experience buy plane ticket airline say cheap expensive accord itinerary flight take 6 40 land 8 30 arrive airport 5 00 problem turn arrive airport row make check flybondi personal ask we take indicate tell we little delay wait two hour floor 20 seat throughout aeroparque ask tell we theflight go delay 8 10 hour imagine wait 10 hour flight wait hour could solve something contrary flybondi tell we return flight leave July 16 2019 21 30 hour would likely delay trip organize argentina could allow return flight delay 5 hour land iguazu flight move jorge newbery international aeroche flight calafate imagine lose flight calafate cost 7500 ar aerolinea argentina buying day travel consult cost 40 000 ar therefore partner decide take flight apart fact day suppose arrive 8 40 would end arrive 18 40 could clearly travel cataract anywhere apart return next day would go one side cataract thehigh possibility lose flight Buenos Aires calafate go disaster airline could know iguazu cataract part itinerary argentina hurt bad airline flybondi staff super rude care absolutely anything ask explanation ask warn we prior notice girl reply notify we already 100 affect person claim nobody respond absolutely disaster one bad experience life airline well buy latam argentine airline,-0.9858,Negative,-1.0,Negative
alberto diaz,5,0.0025402858306346,es,nice experience friendly cordial crew 5 time eh already fly except delay nothing serious good crew treatment,0.3645,Positive,0.5,Positive
alberto gauna,5,0.0118578991254435,es,good attention cabin shipment,0.4404,Positive,0.5,Positive
aldana baroni,1,0.070778956349745,es,schedule flight always change shameful never buy passage lousy service time receive email changing schedule horror well really lie change warn organize well can not schedule always change plan like cheap expensive end fulfill say perfectly add detail arrival ezeiza aeroparque buy incredible,0.7956,Positive,-1.0,Negative
aldana santandreu,5,0.0070391126451938,es,first leg back bariloche winter vacation come time problem remove ticket april good price,0.0516,Positive,0.0,Neutral
aldana scheihing,1,0.0397525645251992,es,cancel flight travel two week ago still return money unpresentable,-0.25,Negative,-1.0,Negative
aldo b,1,0.0,es,flight cancellation without warning cancel flight iguazu aeroparque without prior notice without notification lose connection a give option flight next day 2 morning iguazu hire nochde hotel mas disaster,-0.017,Neutral,-1.0,Negative
aldo luis t,5,0.0,es,grow airline rigorous schedule excellent animated attention board el Palomar airport 10,0.3818,Positive,1.0,Positive
ale g,1,0.0,es,flight cancellation flight cancellation know reason unpresentable negative adjective fall short bad sanction much informality,-0.802,Negative,-1.0,Negative
ale heartful,1,0.0174814326436425,en,preparate para que the cancelen the reprogramen personal barato trabajando aqui super mal educados cancelaron luego de hacer el check reprogramaron luego de haber reorganizado el viaje en el aeropuerto con demora de 2 horas cheap person work skill do not take airline vacation might suffer cheap version ryanair connect another airline forget asco de empresa,-0.128,Negative,-1.0,Negative
ale r,1,0.0,es,take care luggage second time travel break luggage take first time tell make claim right day day return first leg go second value buy new first incident ithey say charge damage luggage make disrespect deliver luggage hand flybondi personnel hope receive everything break,0.6908,Positive,-1.0,Negative
ale s,1,0.0,en,cheap pay flybondi bad experience get wait answer take money,-0.5994,Negative,-1.0,Negative
aledraghi,1,0.0,es,horrible important disgust airline disaster nothing reliable cancel many flight give predictability reprogramming less 6 day reimbursement money price pay update value take account inflation fine company use airline want run risk disgust good price end expensive,-0.8738,Negative,-1.0,Negative
aleguti,1,0.0,es,constant change schedule hour third defeat first two trip plan change bad luck modify flight force cancel vacation new schedule long allow make transfer need arrive exit impossible travel must convince service may economical unreliable convince nice flight catch move one early morning come next day anyway everything possible choose congratulation,0.7269,Positive,-1.0,Negative
alejandra,1,0.0,es,appalling lousy service reprogram fulfill cancellation policy toole read reputation cheap come expensive luck reimburse money responsible bank claim number disaster,-0.3818,Negative,-1.0,Negative
alejandra fleitas,1,0.000969574744517,es,pesima aerolinea pesima aerolinea spend life travel never experience horrible today addition change flight 3 time nothing return trip think pilot brand new somersault give terrible thepeople become bad hostess make sign cross hopefully never pass anyone would operate total disaster disorganized aircraft bad condition etc.,-0.8968,Negative,-1.0,Negative
alejandra p,2,0.0,es,short trip zero information boarding door minute time departure lousy attention running end aeroparque end know line wait like recommend,0.128,Positive,-1.0,Negative
alejandro c,1,0.0,es,bad airline far well start travel bs bariloche reschedule schedule flight several occasion return flight bariloche bs check break luggage combination lock surely intention steal take anything possibly contain clothes however suitcase damage go family also travel flybondi one family travel two baby cancel flight bs bariloche force buy high cost passage aerolinea Argentina day late schedule loss hotel day bariloche one day return notify sms flight cancel force buy ticket airline make matter bad consultation claim etc. communication channel say frankly airline provide low cost ticket lousy service would say without doubt bad experience never write review dare event someone doubt another airline tell total security hesitate choose flybondi bad far,-0.9708,Negative,-1.0,Negative
alejandro castelló,2,0.0,es,bad cancellation rate high can not schedule trip since quite likely cancel flight reprogramming bad since many flight return money slow long choose,-0.8511,Negative,-1.0,Negative
alejandro gorbaran,1,0.0019391494890341,es,never fly x company cancel return flight lose day trip day flight withdraw add idea trip break 2 suitcase take disasterwith company cheap end expensive,-0.2406,Negative,-1.0,Negative
alejandro p,1,0.0,es,horror comfortably far far away bad airline world last attention service cancel flight well forget return scam tiredness hopefully find soon,-0.802,Negative,-1.0,Negative
alen t,2,0.0,es,truth disorganized plan specific date impossible always reprogram can not flight reprogramm thousand time cancel want look new date cancel flight want charge already reschedule andthey cancel flight call phone give answer serve calling thousand time wait hour nobody attend extremely irresponsible,-0.7574,Negative,-1.0,Negative
alepigmento,1,0.0,es,look like gastured videomatch travel tieeempo palomar bariloche do check fly 6 30 approximately remember exact schedule day warn flight would leave 10 30 delay good something make distrust doubt day wake 5 morning check schedule put 6 30 get hurry arrive indeed flight delay advanced 6 30 without notice arrive time lucky employee tell give brother flight delay end dating 1 p.m. terrible can not advance flight way without warning risk leave person huge luck since company company save one usual delay immediately decide travel flybondi compensation delay give coffee cereal bar return neuquén delay long pair hour although time benefit hour vacation something unusual happen give handwritten paper voucher ofmy luggage attach photo reality low cost verse value ticket almost company can not guarantee trip sell improvise good pay put mango another company save almost certainly waste time waste reservation etc. waste vacation time person know travel flybond I inconvenience,-0.0382,Neutral,-1.0,Negative
alex anderson,1,0.0201671546859547,es,change first leg twice reserve trip another airline ask refund still wait change first leg inform refund policy …,0.0,Neutral,-1.0,Negative
alex b,1,0.0,en,fail airline avoid cost flight cancel without notice avoid cost fail airline flight cancel without cause refund offer,-0.9246,Negative,-1.0,Negative
alex l,1,0.0,en,avoid airline cost terrible airline company business one occasion airline change flight time without notice find check likely flight move early time hour day really wreak havoc itinerary connection forget vacation plan care airline world operate way many passenger show airport schedule flight time find miss flight language barrier simply make zero effort honor schedule … delay understandable airline move flight time without notice especially regular basis happen 2 time we 2 week trip result pay aerolinea ticket last minute cost 4 x amount cancel savings use flybondi mention stress cause traveler do not book flybondi unless hate do not value time money do not review often one feel ethically obligate advice traveler avoid mistake,-0.9679,Negative,-1.0,Negative
alex m,1,0.0,es,disaster join affect unpresentable change flight day travel ok usually happen go check one day traveling change flight put tell work give reliable quality service make operational adjustment imply reprogrammingin starting schedule flight among ha ha work give reliable seviceeee landing mother 2 schedule change addition communication impossible well say fb bye bye,0.6369,Positive,-1.0,Negative
alex utama ro,4,0.0,es,good cost benefit relationship round trip bariloche 36 000 370 we approx without luggage backpack seat long week august 21 buy 3 day first leg bariloche without inconvenience punctual exit window wing randomthey assign cheking pay anymore good music shipment come fly allow place luggage pay shelf backpack front seat without problem punctual arrival return 1 hour climatological reason Jevo strong previous day airport clean snowy jar begin 8h could set buneo experience line use since cost costbenefit good video trip youtube channel mundoarjo,0.9646,Positive,0.0,Neutral
alexandre q,1,0.0,fr,explanation choose aerolina argentina do not pour company take company deplorable service flight change 4 x schedule cancellation … save time money,0.4939,Positive,-1.0,Negative
alfonso,1,0.0,en,can not even book try two different debit card different country use travel accept website look customer support number couldnt find end see bad review happy purchase flight,0.7003,Positive,-1.0,Negative
alfredo g,1,0.0,es,total disaster organization outrageous truth expensive airline check charge simply choose seat apart luggage clarify clarify carry work tool like French key can not go cabin deplorable customer service,-0.5106,Negative,-1.0,Negative
alfredo i.,4,0.0067870232116193,es,company staff impeccable argentine particular quality spectacular care 100 willing help passenger need ask assistance,0.7096,Positive,1.0,Positive
alfredoalegre,5,0.0,es,good experience flight leave time quiet first time travel airline super recommend,0.8442,Positive,1.0,Positive
alicia l,1,0.0,es,stay cell phone 06 26 2023 travel bs prov salta arrive realize cell phone leave seat pocket immediately tell flybondy let we go bscarlo say check plane bring tell Asian everything tell we nothing surely take another passenger nono return cell phone ensima change vvuelo last moment,-0.383,Negative,-1.0,Negative
alicia quaglini,4,0.0067870232116193,es,spectacular,0.0,Neutral,1.0,Positive
alicia28118,4,0.0,es,good accessible airline first time travel flybondi absolutely satisfied everything term departure schedule arrival time form criticism super recommend attentive board staff,0.8588,Positive,1.0,Positive
aline v,4,0.0,pt,nothing complain confess horrify read review honestly nothing complain flybondi gol like plane latam clean quiet flight without delay exchange flight schedule back warn couple day outward flight course ultra low cost even give water take bottle snack right,0.9141,Positive,-1.0,Negative
allant,1,0.0,pt,bad airline already travel include low cost 4 flight company throughout trip 2 international flight 2 household flight domestic flight acceptable within expect low cost company however international flight terrible well low cost company experience travel main point check median one case go back window attendant give we information ticket need board international flight aircraft quite dirty loose piece loose plastic bench lock retreat slope among point break loose piece still generate great noise flight person board team extremely unprepared deal situation difficulty board e.g. bag organization treat passenger inappropriately unfairly even abuse power less relevant also bad fact offer drink snack international flight even charge separately say sure point fault cia without favor one flight confusion airport treadmill bag would generate concern apprehension person waitingyour luggage short would go destination undoubtedly travel another airline even spend slightly high amount,-0.9796,Negative,-1.0,Negative
alquiler c,1,0.0,es,bizarro bad attention leave salta 10 minute delay go rosario replenish fuel expect 2 hour flight almost 4 hour personnel sufficiently train ask hostess delay reply ezeiza bullshiting personnel concern able charge excess luggage upper shelter unoccupied make travel bag leg doca person pay even empty allow place luggage never low cost go vacation enough travel another type airline stay home,-0.7774,Negative,-1.0,Negative
alvaro b,1,0.0,es,flybondi low low cheap expensive cheap little serious airline drama leave lying call attend leave everything easy charge make claim play buy advance rather take advantage flight time guarantee anything,0.0754,Positive,-1.0,Negative
alvaro cupertin... m,1,0.0,es,bad airline first leg Buenos Aires flight mine cancel rosario put flight two three day late flight first postpone 5 hour late next day 5 morning imply sleeping airport fortunate send we hotel pick we 2 flight delay collectionsdue excess extreme since charge difference total word luggage 6 kilo break 8 kilo charge 8 kilo two ex exester check page twelve add suitcase airport course get expensive change flight without let know advanced 7 hour 20 minute delay know much hand luggage charge total surplus service lousy expensive travel company airport hour Buenos Aires increase cost history company term punctualuser torment travel company,-0.7808,Negative,-1.0,Negative
alvaro g,1,0.0,es,malisimathe bad company fly advance without warning cancel flight less 12 fly company disaster may fly good company look alternative,-0.4449,Negative,-1.0,Negative
alvaro monzon leyes,1,0.0116348969342046,es,always unforeseen always program never solution suggest pay another airline,-0.1695,Negative,-1.0,Negative
alvise caballos,1,0.0202738079078516,es,cancel 3 time flight Tuesday travel Saturday everything go well,0.0258,Neutral,0.0,Neutral
ambassador552097,1,0.0,es,flybondi freedom cheat september pay flight salta Webruary 7 less week travel everything hire car accommodation excursion send email say flight cancel thing offer reprogram Webruary 13 date completion trip return money course reach buy another airline possible authorize operate unpresentable company buy flybondi freedom cheat,0.2732,Positive,-1.0,Negative
amferrari,2,0.0,es,could never get passage try several time get passage reach additional one allow select suitcase return flight never first leg pay time trip double price unfortunately phone contact must send email wait answer delay answer approach Palomar airport see could inform one answer doubt short answer carefully page good obviously day go price become expensive,-0.129,Negative,-1.0,Negative
ami massud,1,0.0038976904729585,es,total disaster cancel flight get tired understand much impunity continue scam person fly two year old girl end sleeping floor toy house leave 7 30 reschedu 5,-0.9169,Negative,-1.0,Negative
amilcar f,2,0.0,es,fly another airline bag weigh 4 kg 6 kg maximum charge 4500 meet requirement care chek male staff bad,-0.0772,Negative,-1.0,Negative
amsbianca,3,0.0,en,well make round trip through argentina last flight 8 total book flybondi book flight through kiwi com one good connection time get really worry start read review day departure mind check flight status find flight would leave one hour early prob change pickup time taxi go check efficient lady tell we go straight through security gate find flight delay info turn would fly different airport ba care much passenger really vocal unhappy finally board 2 hour original departure time instead 1 hour early say flight ok crew onboard lovely feel really sorry young crew member verbally abuse unhappy passenger delay flight even plane old clean everything go fine uneventful say I will stick aerolina latam next time,0.7317,Positive,-1.0,Negative
ana,1,0.0,es,buy flybondi cancel time travel airline want stay strand suffer cancellation day attend phone way contact comply regulation report anac face flight cancellation reprogramm 1 week apart work go event vacation ruin plan never flybondi,-0.8402,Negative,-1.0,Negative
ana b,4,0.0,es,good vibe flight punctual palomar airport accessible good wave crew perfect first airline low cost ten,0.8126,Positive,0.5,Positive
ana calderón,4,0.070158428513254,es,happiness,0.5574,Positive,1.0,Positive
ana cláudia figueiredo,5,0.0156489363765052,es,confess everything read airline barely sleep day trip think flight go cancel postpone delay even fear security go return iguazú day flight arrive time fact even reach destination schedule time organization seem good airport within plane team organize confirm everything large team arrival Buenos Aires windy wind push plane side pilot excellent job get plane land maneuver safely atmospheric condition impress experience good,0.8658,Positive,-1.0,Negative
ana maria r,5,0.0,es,enjoyable familiar fly c9n company like travel car family aboard staff make possible friendly even look like family call we name traveler tell we thing impeccable bathroom aircraft short trip case schedule respect already travel,0.9231,Positive,0.5,Positive
ana soledad d,1,0.0,es,recommend lousy service want cancel flight nobody anything phone answer recognize loss charge everything give mail exist disastrous company,-0.836,Negative,-1.0,Negative
ana t,1,0.0,es,air company shame seem like company shame cancel flight reason leave airport two day request reassign we company next flight near airport tell we could modify route pay extra accommodation night two bus ticket four taxi one flight another airport company addition lose work day absolute shame help manage absolutely anything give facility assign another flight ask reimbursement least cover minimum new flight buy since obviously come much expensive receive answer take legal action contact member flybondi club addition pay insurance recommend company good customer service even meet minimum solve problem cause much harm client beg contact immediately nobody bad company never fly disgust lousy airline,-0.7785,Negative,-1.0,Negative
ana teruel,1,0.0019391494890341,es,seem like company shame seem like company shame cancel flight reason another one leave airport last two day extra accommodation two bus ticket four taxi one flight another airport company addition lose work day absolute shame help manage absolutely anything give facility assign another flight ask reimbursement least cover minimum new flight buy since obviously come much expensive receive answer take legal action contact member flybondi club addition pay insurance recommend company good customer service even meet minimum solve problem cause much harm client contact immediately nobody bad company never fly disgust lousy airline,-0.5999,Negative,-1.0,Negative
anaa g,1,0.0,es,disappcision Buenos Aires neuquen really disagreement flight Buenos Airess el Palomar neuquen advance we flight never advance flight never buy passage return Tuesday June 11 2019 06 00 whatthey advance Monday June 10 2019 6 00 left Corriente bs Monday June 10 1 30 p impossible reach flight one day go Retiro get collective return pay extra remis Palomar retirejune already obligation fulfill plan schedule without consider day pay stay 13,-0.1513,Negative,-1.0,Negative
anabela b,1,0.0,es,disastrousthe cheap expensive absolutely recommend much less flight connection reprogram cancel without notice due,0.2006,Positive,-1.0,Negative
anabi yozia,1,0.0029087242335511,es,flight change respect schedule break suitcase etc. lack cleaning incredible please improve service lousy,0.3612,Positive,-1.0,Negative
anahi f,5,0.0,es,flawless buy flight almost 6 month advance doubt first time inconvenience super friendly would travel flybondi,0.7693,Positive,-1.0,Negative
analia a,3,0.0,es,one one ´muy good service rosario iguazú economical punctual well attend crew must also recognize June cancel flight córdoba bariloche two hour without many explanation reinstate value pay must continue work allow many person travel low cost forward flybondi,0.5859,Positive,-1.0,Negative
analia flores,1,0.005235703620392,es,travel company another country less pay attention negative comment leave we lie cancel salta flight Buenos Aires solution plane four day late speculative mercenary wash hand cancel scammer employee give automated message delay lot reimbursement silver obviously lose due devaluation argentine weight attend claim phone physical branch claim play think nothing go happen we juggle go 25 hour bus company Buenos Aires lose ship Lruguay already buy travel safe company even expensive save anguish know become,-0.6051,Negative,-1.0,Negative
anderson s,1,0.0,pt,recommend bad onboard service even serve water service terrible check take two hour flight delay 50 minute pay choose 4 armchair put random armchair break two piece dispatch bag plane shake lot seem time turbulence pay little go well organize cia pay little less go bus go first last bad ever do trip flybondi,-0.8996,Negative,-1.0,Negative
andre malca a,4,0.0,es,travel el Palomar airport like could get el Palomar airport travel baby much quiet aeroparque take account priority travel baby,0.3612,Positive,1.0,Positive
andre naim,5,0.0244623708041652,es,although external variable affect exit flight day aeronautical unemployment airline represent crew make everything phenomenal friendly explanatory excellent attitude first time good experience congratulate,0.8779,Positive,0.5,Positive
andrea aldana segura flores,1,0.000969574744517,es,terrible experience terrible experience pay carry want climb make pay back woman attend want give name disrespectful zero professionalism recommend company,-0.5994,Negative,-1.0,Negative
andrea barroso,1,0.0048478737225852,es,bad possible flight schedule change without warning respond request,-0.3536,Negative,-1.0,Negative
andrea c,1,0.0,pt,understand cancellation total neglect month November 2023 buy advance ticket round trip puerto Iguazu Buenos Aires  flybondi twice change flight last time cancel flight miss one day trip message warn cancellation inform would additional cost react flight another time addition inconvenience cause change make pay day accommodation could enjoy surprise stop open extract card surprise find flybondi company charge three time trip already pay report situation email telephone time day get single answer never outrage company already plan intend use flybondi face every situation besides use warn everyone go thing happen,-0.4211,Negative,-1.0,Negative
andrea fidanza,1,0.000969574744517,es,ultrapase ultrapase report web april 22 could change make use reserve ticket pass april 30 informality someone go work say ultrape practical economical hopefully 30 reserve ticket service unfortunate benefit anything,0.4019,Positive,-1.0,Negative
andrea florencia paz,1,0.006030754910896,es,put 1 star cancel reprogramm flight every day case reschedule flight 3 day late ask return nothing return espeastorsthey use money inflation return cent spend 80 thousand peso spend 1 day 1 night airport,-0.25,Negative,-1.0,Negative
andrea galaverna,5,0.0304446469778355,es,excellent trip first back let travel rio de janeiro everything perfect go time inconvenience super recommend,0.9062,Positive,1.0,Positive
andrea l,1,0.0,es,pesimo service lounting flybondy service reprogram we rio de janeiro ezeiza arrive time take flight normal schedule learn delay 6 hour person attend we ask tell we would give we meal wait never give we voucher tell we present boarding card arrive suppose place meal tell we without voucher provide service could long claim pass migration family young child affect inconvenience lousy attention one employee reprogramm flight leave 23 15 leave 00 h normal schedule 18 40 never travel airline,-0.8271,Negative,-1.0,Negative
andrea manganiello,1,0.0058174484671023,es,lousy customer service customer service number ask id number starting call italian reserve ticket passport can not contact customer service way except email clearly respond,-0.0516,Negative,-1.0,Negative
